Orientation;Power;Hatch;Speed;Layer_thickness;Annealed;Annealing_T;HIP;Machined;SB;EDM;LSP;SP;SMAT;Polished;m1;m2;q1;q2
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-2.427.931.208;-4.873.944.667;1.569.294.928;5.548.043.053
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-40.120.605;-9.760.974.252;2.283.246.961;8.203.412.076
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-288.295.844;-0.1;1.750.010.104;3.005.029.591
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-2.764.650.336;-0.1;1.701.441.427;250.525
45;170;0.1;1250;30;1;650;0;0;0;0;0;0;0;0;-1.777.873.517;-6.158.973.338;1.136.719.802;184.182.302
45;170;0.1;1250;30;1;650;0;0;0;0;0;0;0;1;-50;-0.1;645;300.69
45;170;0.1;1250;30;1;650;0;0;0;0;0;1;0;0;-8.392.236.417;-0.1;8.454.953.671;300.65
90;120;0.1;960;30;0;20;0;1;1;0;0;0;0;1;-9.065.038.561;-0.1;8.242.275.065;235.65
90;120;0.1;540;30;0;20;0;1;1;0;0;0;0;1;-1.002.331.625;-0.1;9.110.025.986;2.356.744.301
90;120;0.1;400;30;0;20;0;1;1;0;0;0;0;1;-1.565.934.242;-0.1;1.028.277.079;2.015.282.962
90;120;0.1;1260;30;0;20;0;1;1;0;0;0;0;1;-2.019.784.038;-0.1;1.217.537.316;1.015.528.003
90;120;0.1;1500;30;0;20;0;1;1;0;0;0;0;1;-1.083.208.353;-0.1;7.230.929.281;84.59
90;400;0.12;150;60;0;20;0;1;0;0;0;0;0;0;-1.538.329.998;-0.1;1.354.614.699;447.59
90;400;0.12;150;60;0;20;1;1;0;0;0;0;0;0;-9.665.283.729;-1.723.902.773;1.028.933.619;6.477.473.331
90;170;0.1;1200;30;0;20;0;0;0;0;0;0;0;0;-2.687.588.422;-0.1;1.839.297.748;388.54
90;200;0.08;1250;30;0;20;1;0;0;0;0;0;0;0;-88;-0.1;746;240.575
90;200;0.08;1250;30;0;20;1;1;0;0;0;0;0;1;-96;-0.1;1003.2;360.67
90;200;0.08;1250;30;1;820;0;1;0;0;0;0;0;1;-165.331.182;-0.1;1.039.256.071;2.254.925
90;280;0.14;1200;30;1;900;0;0;0;0;0;0;0;0;-2.615.028.271;-0.1;1.507.514.135;200.5
90;280;0.14;1200;30;1;900;0;0;0;0;0;0;0;0;-2.839.540.919;-0.1;1.617.817.728;2.004.993.123
90;280;0.14;1200;30;1;900;0;1;0;0;0;0;0;1;-1.992.825.627;-0.1;149.694.831;4.005.504.487
90;280;0.14;1200;30;1;900;0;1;0;0;0;0;0;1;-3.706.424.196;-0.1;2.268.447.123;4.005.041.104
90;280;0.14;1200;30;1;900;0;1;0;0;0;0;0;1;-3.308.608.364;-0.1;2.008.240.107;4.004.860.775
90;280;0.14;1200;30;1;900;0;1;0;0;0;0;0;1;-2.231.175.787;-0.1;1.537.899.651;400.51
90;280;0.05;1200;30;0;20;0;0;0;0;0;0;0;0;-2.921.964.878;-2.608.442.837;1.805.592.263;4.617.263.633
90;280;0.05;1200;30;0;20;1;1;0;0;0;0;0;0;-3.743.973.859;-1.837.161.784;2.365.586.276;4.964.509.936
90;280;0.05;1200;30;0;20;1;1;0;0;0;0;1;0;-9.754.600.577;-0.1;1.164.760.307;5.805.994.713
90;280;0.14;1200;30;0;20;0;1;0;0;0;0;0;1;-166.161.164;-5.384.615.385;1.357.118.635;7.169.230.769
90;280;0.14;1200;30;1;920;0;1;0;0;0;0;0;1;-1.383.859.745;-0.1;4.718.701.821;375.7
90;280;0.14;1200;30;1;920;0;1;0;0;0;1;0;0;-50;-0.1;800;450.7
90;280;0.14;1200;30;0;20;0;1;0;0;0;0;0;1;-125;-0.1;1215;340.7
90;280;0.14;1200;30;1;920;0;1;0;0;0;0;0;1;-2.187.108.711;-0.1;5.530.976.098;400.7
90;280;0.14;1200;30;1;920;0;1;0;0;0;1;0;0;-1.666.666.667;-0.1;1.641.666.667;475.7
90;340;0.12;1250;60;0;20;0;1;0;0;0;0;0;1;-5.062.896.368;-0.1;8.044.027.458;450.7
90;340;0.12;1250;60;1;920;0;1;0;0;0;0;0;1;-2.314.556.445;-0.1;6.027.607.254;450.66
90;340;0.12;1250;60;1;920;0;1;0;0;0;1;0;0;-4.160.386.863;-0.1;7.912.270.804;500.7
90;340;0.12;1250;60;0;20;0;1;0;0;0;0;0;1;-4.444.444.444;-0.1;7.833.333.333;450.75
90;340;0.12;1250;60;1;920;0;1;0;0;0;0;0;1;-1.793.443.172;-0.1;5.865.738.062;470.65
90;340;0.12;1250;60;1;920;0;1;0;0;0;1;0;0;-2.681.192.217;-0.1;2.388.428.591;525.695
